Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
114,10,Maths,2,Polynomials,0,Introduction,'The value of p(x) at x = k' refers to:,The value obtained by replacing x with k in p(x),The degree of p(x),The number of zeroes of p(x),The coefficient of x in p(x),A,2
115,10,Maths,2,Polynomials,0,Introduction,What is the degree of the polynomial 5x³ - 4x² + x - 2?,1,2,3,4,C,3
116,10,Maths,2,Polynomials,0,Introduction,"If p(x) = x² - 3x - 4, what is the value of p(0)?",-4,0,-3,4,A,3
117,10,Maths,2,Polynomials,0,Introduction,What is the zero of the linear polynomial p(x) = 3x - 6?,-2,2,-6,6,B,3
118,10,Maths,2,Polynomials,0,Introduction,What is the zero of the linear polynomial p(x) = 2x + 8?,4,-4,2,-2,B,3
119,10,Maths,2,Polynomials,0,Introduction,What is the degree of the polynomial 2y² - 3y + 4?,1,2,3,0,B,3
120,10,Maths,2,Polynomials,0,Introduction,"If the linear polynomial p(x) = kx + 6 has zero x = 2, what is the value of k?",3,-3,2,-2,B,4
121,10,Maths,2,Polynomials,0,Introduction,"For p(x) = x² - 3x - 4, which of the following values of x makes p(x) equal to zero?",x = 1,x = -1,x = 3,x = 2,B,4
122,10,Maths,2,Polynomials,0,Introduction,A student says '1/x + 2 is a polynomial because it has a variable and a constant.' What is the flaw in this reasoning?,"The expression has a negative power of x, so it is not a polynomial",The expression has degree 0,"The expression is linear, not quadratic",The expression has no zero,A,5
123,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,The graph of a linear polynomial y = ax + b is a:,Parabola,Straight line,Circle,Curve with two turning points,B,1
124,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,The graph of a quadratic polynomial y = ax² + bx + c is called a:,Straight line,Ellipse,Parabola,Hyperbola,C,1
125,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,What is the maximum number of zeroes a quadratic polynomial can have?,1,2,3,0,B,1
126,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,What is the maximum number of zeroes a cubic polynomial can have?,2,3,4,1,B,1
127,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"In general, a polynomial p(x) of degree n has at most how many zeroes?",n - 1,n,n + 1,2n,B,1
128,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"In the chapter's Case (ii), what happens to the two intersection points A and A′ from Case (i)?",They coincide to become a single point,They move further apart,They disappear entirely,They become negative,A,2
129,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"If the graph of a quadratic polynomial does not touch or cross the x-axis at all, the polynomial has:",One zero,Two zeroes,No zero,Three zeroes,C,2
130,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"If the graph of a quadratic polynomial touches the x-axis at exactly one point, the polynomial has:",No zero,Two distinct zeroes,One zero (two equal zeroes),Three zeroes,C,2
131,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,A parabola that opens downwards corresponds to a quadratic polynomial ax² + bx + c where:,a > 0,a < 0,a = 0,b = 0,B,2
132,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"When the graph of a quadratic polynomial cuts the x-axis at two distinct points, the polynomial has:",No real zero,Exactly one zero,Two distinct zeroes,Two equal zeroes,C,2
133,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,The graph of the linear polynomial ax + b (a ≠ 0) intersects the x-axis at:,Exactly two points,Exactly one point,No point,Infinitely many points,B,2
134,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"The graph of y = 2x + 3 passes through (-2, -1) and (2, 7). At which point does it intersect the x-axis?","(-3/2, 0)","(3/2, 0)","(-2, 0)","(0, 3)",A,3
135,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"From the chapter's table of values, y = x² - 3x - 4 equals zero at x =",-1 and 4,1 and -4,-2 and 3,0 and 3,A,3
136,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"The graph of y = x³ - 4x intersects the x-axis at x = -2, 0 and 2. How many zeroes does this cubic polynomial have?",1,2,3,4,C,3
137,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"If the graph of a quadratic polynomial lies entirely above the x-axis, how many real zeroes does it have?",0,1,2,3,A,3
138,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"A graph of y = p(x) intersects the x-axis at exactly two points. If p(x) is quadratic, how many zeroes does it have?",0,1,2,3,C,3
139,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,The graph of a degree-4 polynomial intersects the x-axis at exactly 4 distinct points. How many zeroes does the polynomial have?,2,3,4,5,C,3
140,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"For the polynomial x³ - x², which values of x are its zeroes?",0 and -1,0 and 1,1 and -1,only 1,B,3
141,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"A quadratic polynomial's graph touches the x-axis at the single point (3, 0) and nowhere else. What are its zeroes?","Two distinct zeroes, 3 and -3","Two equal zeroes, both equal to 3",No real zero,Three zeroes,B,4
142,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"A cubic polynomial's graph intersects the x-axis at exactly 3 points, and a quadratic polynomial's graph intersects the x-axis at exactly 2 points. What do both these graphs have in common?",Both graphs are straight lines,"In each case, the number of intersection points equals the degree of the polynomial",Both polynomials have the same zeroes,Both graphs open upwards,B,4
143,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"The graph of y = ax + b intersects the x-axis at only one point for any a ≠ 0, while the graph of y = ax² + bx + c may intersect the x-axis at 0, 1, or 2 points. What best explains this difference?",Quadratic polynomials always have larger coefficients,A straight line always has a positive slope,"The degree of the polynomial limits the possible number of x-axis intersections, and a curve can bend to miss, touch, or cross the axis",Quadratic graphs never intersect the x-axis,C,4
144,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"The graph of a linear polynomial y = ax + b passes through the points (1, 5) and (3, 9). What is the zero of this polynomial?",-1.5,2-Mar,-2,2,A,4
145,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"Polynomial p(x) has degree 3, and its graph is observed to intersect the x-axis at exactly 3 distinct points. Could this same polynomial's graph instead intersect the x-axis at 4 points?","Yes, since cubic graphs can cross any number of times","No, because a degree-3 polynomial has at most 3 zeroes","Yes, if the coefficients are large enough","No, because cubic graphs never intersect the x-axis more than once",B,4
146,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"Two quadratic polynomials both have parabola graphs opening upwards, but one lies entirely above the x-axis while the other cuts the x-axis at two points. What is the number of real zeroes in each case?",The first has 2 zeroes and the second has 0 zeroes,The first has 0 zeroes and the second has 2 zeroes,Both have exactly 1 zero,Both have 2 zeroes since both are quadratic,B,4
147,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"A student argues that since the graph of a quadratic polynomial is a curve, it should be able to intersect the x-axis at 3 or more points, just like a cubic. What is wrong with this reasoning?","A quadratic polynomial has degree 2, so its graph can intersect the x-axis at no more than 2 points",Curves can never intersect a straight line,Only cubic graphs are allowed to touch the x-axis,A parabola never touches the x-axis at all,A,5
148,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,A straight line appears to cross the x-axis at two different points. What must be true about this line?,It represents a linear polynomial ax + b with a ≠ 0,"It cannot represent a linear polynomial of the form ax + b with a ≠ 0, since such a line meets the x-axis at exactly one point",It represents a quadratic polynomial,It has two equal zeroes,B,5
149,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"Given that y = x³ - 4x has zeroes -2, 0 and 2, which of these is NOT a zero of this polynomial?",-2,0,1,2,C,5
150,10,Maths,2,Polynomials,0,Geometrical Meaning of the Zeroes of a Polynomial,"A polynomial's graph is a parabola opening downward and crosses the x-axis at two points, one positive and one negative. Which geometric case from the chapter does this match?","Case (iii), where the graph does not cut the x-axis","Case (ii), where the graph touches the x-axis at one point","Case (i), where the graph cuts the x-axis at two distinct points, giving two distinct zeroes",This situation is impossible for a quadratic polynomial,C,5
151,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"If α and β are the zeroes of the quadratic polynomial ax² + bx + c, then α + β equals:",b/a,#NAME?,c/a,-c/a,B,1
152,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"If α and β are the zeroes of the quadratic polynomial ax² + bx + c, then αβ equals:",b/a,#NAME?,c/a,-c/a,C,1
153,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For a cubic polynomial ax³ + bx² + cx + d with zeroes α, β, γ, the sum α + β + γ equals:",#NAME?,b/a,c/a,#NAME?,A,1
154,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For a cubic polynomial ax³ + bx² + cx + d with zeroes α, β, γ, the product αβγ equals:",d/a,#NAME?,c/a,-c/a,B,1
155,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For a cubic polynomial ax³ + bx² + cx + d with zeroes α, β, γ, the sum of products taken two at a time, αβ + βγ + γα, equals:",#NAME?,c/a,-c/a,#NAME?,B,1
156,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,Example 3 in the chapter uses the identity a² - b² = (a - b)(a + b) to factorise x² - 3. This identity is applied by writing x² - 3 as:,(x - √3)(x + √3),(x - 3)(x + 3),(x - √3)²,(x + 3)(x - 1),A,2
157,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,Product of zeroes of a quadratic polynomial is described in the chapter as being equal to:,Coefficient of x divided by coefficient of x²,Negative of coefficient of x divided by coefficient of x²,Constant term divided by coefficient of x²,Negative of the constant term divided by coefficient of x,C,2
158,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"To find the zeroes of a quadratic polynomial by factorisation, the method used in the chapter is:",Completing the square,Splitting the middle term,Using the quadratic graph only,Trial and error with large numbers,B,2
159,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"In the identity ax² + bx + c = k(x - α)(x - β), the constant k represents:",The product of the zeroes,The sum of the zeroes,"A constant multiplier, equal to a when compared with ax² + bx + c",The degree of the polynomial,C,2
160,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"Which of these correctly states the relationships for a cubic polynomial's zeroes α, β, γ and coefficients a, b, c, d?","α+β+γ = -b/a, αβ+βγ+γα = c/a, αβγ = -d/a","α+β+γ = b/a, αβ+βγ+γα = -c/a, αβγ = d/a","α+β+γ = -d/a, αβγ = -b/a","α+β+γ = c/a, αβγ = b/a",A,2
161,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"If a quadratic polynomial's zeroes are given, a quadratic polynomial with those zeroes can be found using the form:",x² - (sum of zeroes)x + (product of zeroes),x² + (sum of zeroes)x - (product of zeroes),x² - (product of zeroes)x + (sum of zeroes),x² + (sum of zeroes)x + (product of zeroes),A,2
162,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,What are the zeroes of the quadratic polynomial x² + 7x + 10?,-2 and -5,2 and 5,-2 and 5,2 and -5,A,3
163,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For p(x) = 2x² - 8x + 6, what is the sum of its zeroes?",3,-3,4,-4,C,3
164,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For p(x) = 2x² - 8x + 6, what is the product of its zeroes?",3,-3,6,2,A,3
165,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,What are the zeroes of the polynomial x² - 3?,3 and -3,√3 and -√3,9 and -9,√3 only,B,3
166,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,"For p(x) = 3x² + 5x - 2, what is the sum of its zeroes?",3-May,-1.666666667,3-Feb,-0.666666667,B,3
167,10,Maths,2,Polynomials,0,Relationship between Zeroes and Coefficients of a Polynomial,Find a quadratic polynomial whose zeroes have sum -3 and product 2.,x² - 3x + 2,x² + 3x + 2,x² + 3x - 2,x² - 3x - 2,B,3
